year,modelled_generation_kwh,pct_of_aep50,months_short,AGS_index_kwh,payout_inr
2005,4710.0,102.4,3,31.0,0.0
2006,4581.0,99.6,4,87.0,0.0
2007,4649.0,101.1,4,32.0,0.0
2008,4616.0,100.3,4,74.0,0.0
2009,4739.0,103.0,4,36.0,0.0
2010,4600.0,100.0,4,63.0,0.0
2011,4522.0,98.3,6,128.0,162.0
2012,4674.0,101.6,3,49.0,0.0
2013,4502.0,97.9,6,134.0,193.0
2014,4687.0,101.9,4,41.0,0.0
2015,4657.0,101.2,7,64.0,0.0
2016,4524.0,98.3,7,151.0,295.0
2017,4612.0,100.3,5,105.0,30.0
2018,4588.0,99.7,3,74.0,0.0
2019,4469.0,97.2,8,189.0,513.0
2020,4622.0,100.5,7,99.0,0.0
2021,4503.0,97.9,7,168.0,389.0
2022,4675.0,101.6,3,23.0,0.0
2023,4560.0,99.1,7,108.0,46.0
2024,4511.0,98.1,8,125.0,142.0
